,Bank Balance,Annual Salary,Defaulted?,0,1
87,1949.4,158901.0,0,1,0
88,11190.36,606449.64,0,0,1
89,10719.96,142868.16,0,1,0
90,15993.36,533941.92,0,0,1
91,16852.56,420517.32,0,0,1
92,13787.64,198938.28,0,1,0
93,4418.64,691161.96,0,0,1
94,5393.64,551408.04,0,0,1
95,9840.24,619015.92,0,0,1
96,7437.0,189007.44,0,1,0
97,12572.64,557003.64,0,0,1
98,2926.08,566326.68,0,0,1
99,2238.0,545166.6,0,0,1
100,17064.24,458688.36,0,0,1
101,4605.6,737103.48,0,0,1
102,13913.28,549625.2,0,0,1
103,10595.88,206180.88,0,0,1
104,17558.76,785494.2,0,0,1
105,20668.32,231737.04,0,1,0
106,9287.04,174706.92,0,1,0
107,11498.04,393795.36,0,0,1
108,14490.36,816450.96,0,0,1
109,12679.32,366559.2,0,0,1
110,1411.68,558603.24,0,0,1
111,7163.52,697060.32,0,0,1
112,0.0,572755.56,0,0,1
113,6499.92,196028.4,0,1,0
114,13430.16,540240.24,0,0,1
115,9723.84,245984.04,0,1,0
116,3258.6,394201.44,0,0,1
117,13372.8,572568.24,0,0,1
118,10404.36,402491.76,0,0,1
119,14121.48,211592.52,0,1,0
120,7322.76,509584.32,0,0,1
121,3271.44,665392.08,0,0,1
122,5396.88,595721.16,0,0,1
123,9933.24,128082.36,0,1,0
124,5160.0,407102.64,0,0,1
125,0.0,381909.12,0,0,1
126,18688.08,220855.08,0,1,0
127,11138.88,404665.92,0,0,1
128,16481.4,589221.6,0,0,1
129,11412.84,223218.36,0,1,0
130,15506.52,276790.2,0,1,0
131,6986.28,297129.6,0,0,1
132,4073.04,231695.76,0,1,0
133,4919.76,535693.08,0,0,1
134,14597.4,643678.2,0,0,1
135,7181.52,529491.24,0,0,1
136,17844.0,214252.8,1,1,0
137,11325.6,719722.08,0,0,1
138,0.0,594309.0,0,0,1
139,11955.36,250598.88,0,1,0
140,8979.6,134984.04,0,1,0
141,3896.88,184938.24,0,0,1
142,6904.56,192068.16,0,1,0
143,5300.88,432146.88,0,0,1
144,14263.68,474318.72,0,0,1
145,1141.8,616454.4,0,0,1
146,12187.32,518625.48,0,0,1
147,15102.84,539180.04,0,0,1
148,14138.88,93003.48,0,1,0
149,8778.36,527472.72,0,0,1
150,4201.08,533462.4,0,0,1
151,5026.2,442821.36,0,0,1
152,6398.76,472722.48,0,0,1
153,1143.6,388312.68,0,0,1
154,17436.12,191196.0,0,1,0
155,4231.68,472856.88,0,0,1
156,8834.88,169295.88,0,1,0
157,15677.76,494695.56,0,0,1
158,13789.8,542337.48,0,0,1
159,8438.76,692151.36,0,0,1
160,16329.6,226371.72,0,1,0
161,377.4,639448.2,0,0,1
162,11858.52,582844.32,0,0,1
163,4320.24,287130.6,0,0,1
164,7769.76,398715.36,0,0,1
165,0.0,117801.48,0,1,0
166,5342.88,383695.44,0,0,1
167,10542.48,209960.88,0,1,0
168,4029.96,261118.44,0,1,0
169,7999.32,365261.64,0,0,1
170,9766.56,488849.52,0,0,1
171,10035.6,655286.16,0,0,1
172,11609.76,396661.32,0,0,1
173,26469.6,171257.88,1,1,0
174,15098.28,140066.64,0,1,0
175,14877.6,481286.04,0,0,1
176,0.0,165123.6,0,1,0
177,11134.68,269680.56,0,1,0
178,16680.36,255589.2,0,1,0
179,4926.0,641654.52,0,0,1
180,876.96,368180.88,0,0,1
181,9487.2,543637.2,0,0,1
182,9474.0,390958.8,0,0,1
183,9496.32,555830.88,0,0,1
184,5748.48,447070.56,0,0,1
185,10663.32,346797.48,0,0,1
186,15412.68,513983.4,0,0,1
187,8547.36,280103.4,0,1,0
188,15487.44,220896.6,0,1,0
189,1516.32,531371.16,0,0,1
190,9352.56,733906.68,0,0,1
191,8369.88,593721.12,0,0,1
192,7283.64,523320.36,0,0,1
193,21634.8,256937.04,0,1,0
194,10801.08,495318.72,0,0,1
195,11595.36,401291.76,0,0,1
196,8052.72,428269.32,0,0,1
197,2058.72,282071.88,0,0,1
198,17789.76,543127.32,0,0,1
199,7687.92,557574.84,0,0,1
200,8473.92,216940.2,0,1,0
201,21296.28,244314.12,1,1,0
202,10998.0,309220.92,0,0,1
203,15255.24,432642.0,0,0,1
204,1326.84,568069.32,0,0,1
205,20967.12,453831.48,0,0,1
206,22675.2,587474.04,1,0,1
207,326.4,252622.08,0,0,1
208,8954.76,421918.2,0,0,1
209,22792.68,247862.4,1,1,0
210,9767.88,244698.36,0,1,0
211,5993.52,466789.92,0,0,1
212,10237.92,435269.4,0,0,1
213,5696.76,384772.08,0,0,1
214,14830.56,430065.36,0,0,1
215,7448.16,530565.24,0,0,1
216,2640.36,454560.36,0,0,1
217,15658.92,216888.96,0,1,0
218,19297.8,268296.6,0,1,0
219,3077.64,451884.72,0,0,1
220,13843.2,230699.76,0,1,0
221,9262.8,374041.08,0,0,1
222,13195.56,204768.48,0,1,0
223,9394.56,484285.56,0,0,1
224,5331.12,431092.08,0,0,1
225,6048.36,297371.52,0,0,1
226,21150.0,505495.92,0,0,1
227,10201.2,223427.88,0,1,0
228,16946.88,489420.72,0,0,1
229,8586.0,569790.84,0,0,1
230,16362.36,668556.48,0,0,1
231,5918.88,509942.4,0,0,1
232,16257.0,400501.56,0,0,1
233,6855.48,184995.24,0,1,0
234,11473.8,529040.52,0,0,1
235,11577.84,412689.0,0,0,1
236,6631.56,606157.92,0,0,1
237,4059.24,453206.88,0,0,1
238,8509.44,528499.56,0,0,1
239,11747.76,694068.6,0,0,1
240,4452.12,188432.52,0,0,1
241,18874.32,179162.16,1,1,0
242,0.0,481802.64,0,0,1
243,23573.76,468655.08,1,0,1
244,6576.48,403267.8,0,0,1
245,15084.72,408540.12,0,0,1
246,14279.04,456202.68,0,0,1
247,8252.16,472482.96,0,0,1
248,10148.4,478794.12,0,0,1
249,11492.16,236116.2,0,1,0
250,2802.24,519913.32,0,0,1
251,13523.4,171579.12,0,1,0
252,5866.32,181913.88,0,1,0
253,9214.8,531882.96,0,0,1
254,6743.16,376662.12,0,0,1
255,13107.24,209455.2,0,1,0
256,861.48,383588.88,0,0,1
257,22069.68,163504.8,0,1,0
258,10512.0,269694.84,0,1,0
259,6649.32,364284.36,0,0,1
260,10695.84,527340.48,0,0,1
261,5578.08,327898.8,0,0,1
262,6762.48,288984.48,0,1,0
263,18364.2,360045.84,1,0,1
264,11886.84,500283.0,0,0,1
265,7084.8,513230.4,0,0,1
266,8581.92,253842.12,0,1,0
267,18484.56,502224.96,0,0,1
268,14919.96,499676.16,0,0,1
269,2823.96,250916.4,0,1,0
270,6339.0,592732.08,0,0,1
271,7107.0,368774.4,0,0,1
272,8462.4,512198.28,0,0,1
273,5478.24,578349.36,0,0,1
274,5648.64,216625.2,0,1,0
275,18036.96,127204.92,0,1,0
276,16355.64,530615.04,0,0,1
277,10905.24,540394.2,0,0,1
278,13161.84,193776.72,0,1,0
279,4430.64,574021.08,0,0,1
280,8080.8,603075.48,0,0,1
281,12462.0,614077.68,0,0,1
282,0.0,345155.04,0,0,1
283,6326.28,389173.44,0,0,1
284,9809.64,395693.16,0,0,1
285,18588.48,236427.48,0,1,0
286,6800.52,142247.4,0,1,0
287,17952.72,299231.04,0,0,1
288,10351.92,514137.96,0,0,1
289,15109.8,375163.68,0,0,1
290,12300.48,522120.6,0,0,1
291,8439.36,177524.88,0,1,0
292,12988.68,182104.32,0,1,0
293,10925.4,528659.04,0,0,1
294,11958.48,203947.92,0,1,0
295,4245.36,702171.84,0,0,1
296,9392.52,159603.6,0,1,0
297,20599.2,612682.44,0,0,1
298,6034.8,181847.64,0,1,0
299,12401.64,710447.64,0,0,1
300,0.0,419104.44,0,0,1
301,13044.96,231165.24,0,1,0
302,12566.88,526797.12,0,0,1
303,12683.16,460414.44,0,0,1
304,11750.64,312130.68,0,1,0
305,10173.84,191743.56,0,1,0
306,9381.24,611505.48,0,0,1
307,4829.88,190848.72,0,1,0
308,2456.88,210411.48,0,0,1
309,24272.04,220040.88,0,1,0
310,8987.28,530239.44,0,0,1
311,10059.36,431009.88,0,0,1
312,4632.24,536328.36,0,0,1
313,9748.8,595477.2,0,0,1
314,21719.16,83821.68,0,1,0
315,0.0,364326.6,0,0,1
316,15938.16,296261.64,0,1,0
317,17579.28,320600.28,0,1,0
318,14406.84,476624.28,0,0,1
319,11876.28,334278.96,0,0,1
320,10448.76,426471.24,0,0,1
321,14410.2,238197.96,0,1,0
322,17145.96,278456.16,0,1,0
323,0.0,407415.48,0,0,1
324,4313.52,261399.24,0,1,0
325,3188.16,490353.0,0,0,1
326,12333.24,532882.08,0,0,1
327,8748.6,420505.56,0,0,1
328,12513.6,310405.8,0,0,1
329,2762.76,454507.32,0,0,1
330,4409.64,367335.24,0,0,1
331,8852.52,250365.6,0,1,0
332,219.12,364193.52,0,0,1
333,15093.12,370017.24,0,0,1
334,5466.24,490888.8,0,0,1
335,683.64,425501.76,0,0,1
336,8687.16,146556.48,0,1,0
337,7348.56,496557.24,0,0,1
338,14642.16,183697.56,0,1,0
339,14668.2,388360.44,0,0,1
340,13985.88,572210.64,0,0,1
341,19713.84,562283.4,1,0,1
342,11330.04,673064.16,0,0,1
343,8995.32,497087.28,0,0,1
344,4444.56,374772.12,0,0,1
345,23899.8,505600.44,1,0,1
346,9287.04,534748.08,0,0,1
347,9807.0,245770.68,0,1,0
348,12728.64,603125.52,0,0,1
349,18605.4,675282.12,1,0,1
350,5453.64,181109.28,0,1,0
351,15074.88,213414.72,0,1,0
352,17812.8,440775.72,0,0,1
353,12605.76,151939.32,0,1,0
354,11836.8,545165.64,0,0,1
355,8608.08,531196.56,0,0,1
356,8305.68,564457.08,0,0,1
357,15946.68,416520.72,1,0,1
358,8081.64,395160.84,0,0,1
359,2623.68,587896.8,0,0,1
360,14618.04,527451.36,0,0,1
361,162.24,231870.6,0,1,0
362,6377.76,260718.72,0,1,0
363,1986.48,401237.52,0,0,1
364,16222.2,310686.0,0,1,0
365,1287.36,649727.52,0,0,1
366,11366.28,427249.44,0,0,1
367,5214.72,177751.8,0,1,0
368,12240.84,449506.56,0,0,1
369,7947.72,379174.8,0,0,1
370,9053.04,249212.16,0,1,0
371,3473.88,532954.8,0,0,1
372,2376.48,435251.28,0,0,1
373,6192.72,199380.24,0,1,0
374,8370.72,501064.8,0,0,1
375,6027.84,203369.04,0,1,0
376,17516.28,186905.04,0,1,0
377,8604.0,413019.12,0,0,1
378,12455.64,219888.36,0,1,0
379,8076.24,356831.52,0,0,1
380,4463.04,493197.24,0,0,1
381,1069.56,667255.32,0,0,1
382,15279.36,490743.36,0,0,1
383,7208.64,224166.24,0,0,1
384,10860.48,488541.6,0,0,1
385,12737.28,653244.12,0,0,1
386,20071.68,556017.48,0,0,1
387,10604.4,237001.08,0,1,0
388,4485.36,647234.88,0,0,1
389,15453.6,628591.92,0,0,1
390,14756.88,584879.16,0,0,1
391,6127.32,269484.6,0,1,0
392,9307.56,326470.32,0,0,1
393,13835.76,602478.96,0,0,1
394,15643.92,95832.0,0,1,0
395,20103.36,338934.0,0,0,1
396,4779.36,360021.6,0,0,1
397,8878.8,300286.44,0,1,0
398,2717.04,384224.52,0,0,1
399,14607.84,302083.44,0,0,1
400,7677.84,358824.0,0,0,1
401,10598.04,152609.88,0,1,0
402,27.48,458238.24,0,0,1
403,5035.68,671615.88,0,0,1
404,18529.68,133230.36,0,1,0
405,13212.24,385836.12,0,0,1
406,20407.2,365867.76,1,0,1
407,3741.84,579612.72,0,0,1
408,5313.96,660889.56,0,0,1
409,8745.72,214914.96,0,0,1
410,3346.56,446264.04,0,0,1
411,9104.4,439511.88,0,0,1
412,7444.08,273644.88,0,0,1
413,22682.04,220829.52,0,1,0
414,0.0,347417.4,0,0,1
415,15950.4,278208.24,0,1,0
416,12910.32,529543.56,0,0,1
417,7422.36,659483.88,0,0,1
418,13333.08,329602.68,0,0,1
419,10368.48,550583.16,0,0,1
420,10742.76,582149.52,0,0,1
421,11448.36,262902.36,0,1,0
422,11371.56,561762.24,0,0,1
423,3207.6,277415.16,0,0,1
424,16401.72,286958.52,0,1,0
425,7496.76,459902.04,0,0,1
426,164.16,302659.68,0,0,1
427,9430.44,537336.24,0,0,1
428,16237.08,227202.0,0,1,0
429,5763.84,306639.12,0,0,1
430,0.0,354087.72,0,0,1
431,14663.64,215002.32,0,1,0
432,14219.28,301305.12,0,1,0
433,5742.84,330148.08,0,1,0
434,2660.28,417433.2,0,0,1
435,6940.68,492649.68,0,0,1
436,16337.52,234923.52,0,1,0
437,11734.2,236783.52,0,1,0
438,14213.16,442649.28,0,0,1
439,13424.4,262181.28,1,1,0
440,13429.2,446694.84,1,0,1
441,9316.2,375953.76,0,0,1
442,15867.6,621508.8,0,0,1
443,10536.36,329263.08,0,0,1
444,15220.56,203054.16,0,0,1
445,0.0,391336.44,0,0,1
446,0.0,447150.84,0,0,1
447,4401.48,309996.72,0,1,0
448,8970.72,478785.24,0,0,1
449,21447.48,449989.08,0,0,1
450,23153.4,179945.88,0,1,0
451,11845.68,335535.84,0,0,1
452,10276.32,249098.52,0,1,0
453,13213.8,217846.08,0,0,1
454,8450.16,378191.76,0,0,1
455,6667.44,490052.76,0,0,1
456,12882.0,537169.32,0,0,1
457,13514.64,394111.8,0,0,1
458,7797.24,188499.6,0,1,0
459,11731.92,524922.0,0,0,1
460,12598.68,511650.12,0,0,1
461,16602.84,189172.2,0,1,0
462,13145.64,168782.04,0,1,0
463,13072.44,362695.2,0,0,1
464,7262.64,261507.84,0,0,1
465,12406.68,591144.6,0,0,1
466,19256.64,458243.88,0,0,1
467,9915.96,296156.64,0,0,1
468,14113.8,200048.16,0,1,0
469,15300.24,239245.2,0,1,0
470,15483.36,282467.28,0,1,0
471,13601.64,616974.0,0,0,1
472,10048.92,448805.88,0,0,1
473,4548.96,219364.44,0,1,0
474,13610.04,149440.32,0,1,0
475,0.0,469440.96,0,0,1
476,17894.04,712732.56,0,0,1
477,20344.32,114995.28,0,1,0
478,8466.84,655070.88,0,0,1
479,2870.28,404918.76,0,0,1
480,14204.52,149143.32,0,1,0
481,10785.12,459204.96,0,0,1
482,18291.48,140635.08,0,1,0
483,9324.24,421380.24,0,0,1
484,16737.6,312899.16,0,0,1
485,0.0,245713.92,0,1,0
486,750.84,575361.24,0,0,1
487,23777.4,337534.8,1,0,1
488,6168.6,600639.12,0,0,1
489,8673.48,644570.28,0,0,1
490,1834.44,404602.32,0,0,1
491,3518.16,424683.48,0,0,1
492,0.0,463363.44,0,0,1
493,7744.44,214540.32,0,1,0
494,18181.8,312561.24,0,1,0
495,9209.28,226157.88,0,1,0
496,5902.56,260582.76,0,1,0
497,0.0,496673.28,0,0,1
498,0.0,415073.88,0,0,1
499,6109.92,481591.92,0,0,1
500,11587.08,197281.2,0,1,0
501,22422.48,245875.2,0,1,0
502,4842.0,501645.36,0,0,1
503,7117.68,452051.28,0,0,1
504,0.0,534574.44,0,0,1
505,8907.48,472406.28,0,0,1
506,13321.2,156163.32,0,1,0
507,9258.6,593284.8,0,0,1
508,7492.08,509913.0,0,0,1
509,5999.52,274619.4,0,1,0
510,13063.68,727800.48,0,0,1
511,18677.88,596036.04,0,0,1
512,9564.96,282704.16,0,1,0
513,4991.88,458588.16,0,0,1
514,6458.76,321996.48,0,1,0
515,14183.16,253032.96,0,1,0
516,10032.24,111261.48,0,1,0
517,1253.28,563136.12,0,0,1
518,6770.52,638359.44,0,0,1
519,9654.48,301097.52,0,1,0
520,12347.4,254619.6,0,0,1
521,8985.0,107806.32,0,0,1
522,799.56,344831.64,0,0,1
523,5433.6,576410.88,0,0,1
524,9581.52,332688.84,0,1,0
525,23302.8,281605.56,0,1,0
526,17353.2,275957.16,0,0,1
527,9132.72,738960.36,0,0,1
528,16202.04,517769.52,0,0,1
529,4571.4,443320.32,0,0,1
530,19234.2,190877.64,0,1,0
531,1771.32,451062.72,0,0,1
532,0.0,435396.96,0,0,1
533,8796.84,225818.04,0,1,0
534,12993.0,313156.08,0,1,0
535,9355.92,489653.76,0,0,1
536,11929.92,783048.96,0,0,1
537,9230.16,600849.36,0,0,1
538,8209.2,59822.04,0,1,0
539,5310.72,334781.64,0,0,1
540,20604.84,460906.68,1,0,1
541,0.0,435630.36,0,0,1
542,13108.2,536604.12,0,0,1
543,5967.96,421761.6,0,0,1
544,13796.16,202892.4,0,1,0
545,17582.52,704399.76,1,0,1
546,6783.84,501475.32,0,0,1
547,11065.68,146690.28,0,1,0
548,2107.2,138120.72,0,1,0
549,12299.4,596106.72,0,0,1
550,7162.68,649099.44,0,0,1
551,9004.92,637018.92,0,0,1
552,9490.44,170207.64,0,1,0
553,1347.96,508632.6,0,0,1
554,8860.68,193119.36,0,1,0
555,13894.32,653037.72,0,0,1
556,14558.88,541794.24,0,0,1
557,16075.56,499872.0,0,0,1
558,7059.72,678251.52,0,0,1
559,8661.72,676508.64,0,0,1
560,8169.84,526121.64,0,0,1
561,9784.92,144861.12,0,1,0
562,12510.12,446041.32,0,0,1
563,7959.0,245455.44,0,1,0
564,17743.44,216317.64,0,1,0
565,4053.12,403866.84,0,0,1
566,15282.6,277519.68,0,1,0
567,1370.16,594755.88,0,0,1
568,0.0,627547.2,0,0,1
569,18195.84,316531.08,0,1,0
570,10777.32,289977.0,0,1,0
571,9487.08,578635.08,0,0,1
572,0.0,348872.64,0,0,1
573,15278.88,589637.64,0,0,1
574,15350.4,432757.32,0,0,1
575,8792.64,174825.0,0,1,0
576,21162.96,554724.84,1,0,1
577,15365.04,195730.92,0,1,0
578,18359.28,442954.8,0,0,1
579,4145.64,219017.88,0,1,0
580,2375.88,404687.88,0,0,1
581,21251.64,191706.48,1,1,0
582,7672.44,204444.6,0,1,0
583,2865.72,282320.52,0,0,1
584,4686.72,544060.32,0,0,1
585,9962.04,233719.08,0,1,0
586,16546.56,259362.96,0,1,0
587,2908.8,448373.04,0,0,1
588,14838.6,434537.88,0,0,1
589,12765.24,418971.36,0,0,1
590,1523.04,405829.68,0,0,1
591,9101.64,456217.8,0,0,1
592,10907.16,825106.56,0,0,1
593,6702.24,555569.16,0,0,1
594,21830.88,443634.6,0,0,1
595,13328.16,231930.96,0,1,0
596,8678.88,521508.12,0,0,1
597,11664.36,222131.4,0,0,1
598,8352.12,488897.04,0,0,1
599,14139.0,352351.2,0,1,0
600,3954.72,232461.72,0,1,0
601,9510.36,174555.6,0,1,0
602,14952.48,404300.64,0,0,1
603,7101.12,500043.12,0,0,1
604,2928.96,298251.0,0,0,1
605,12462.6,599338.44,0,0,1
606,8148.84,593862.72,0,0,1
607,12737.04,487022.64,0,0,1
608,15218.88,142974.96,0,1,0
609,11466.36,176840.64,0,1,0
610,13389.84,334593.72,0,0,1
611,7213.92,264350.28,0,1,0
612,13171.2,627437.16,0,0,1
613,12513.36,551795.64,0,0,1
614,15857.28,103489.32,0,1,0
615,12628.68,451651.92,0,0,1
616,8255.4,331248.96,0,0,1
617,6797.52,297939.24,0,1,0
618,9232.92,420854.04,0,0,1
619,11461.68,316475.88,0,0,1
620,7720.92,343921.68,0,0,1
621,0.0,512943.6,0,0,1
622,5251.68,544608.6,0,0,1
623,15346.44,416078.04,0,0,1
624,19672.68,367497.36,0,0,1
625,10699.68,437649.96,0,0,1
626,3797.52,225767.28,0,1,0
627,7475.16,586494.72,0,0,1
628,1287.36,507447.6,0,0,1
629,11886.48,148781.88,0,1,0
630,0.0,547920.0,0,0,1
631,0.0,397439.52,0,0,1
632,7094.64,423453.84,0,0,1
633,11136.72,253462.08,0,1,0
634,3655.2,489431.88,0,0,1
635,2831.28,376038.12,0,0,1
636,13296.6,130238.76,0,1,0
637,8247.72,294765.12,0,0,1
638,722.28,478378.32,0,0,1
639,0.0,415787.64,0,0,1
640,3274.68,704766.84,0,0,1
641,18380.64,527164.8,1,0,1
642,11395.32,572430.84,0,0,1
643,6743.04,420966.96,0,0,1
644,5617.56,302776.2,0,0,1
645,11917.32,146591.4,0,1,0
646,0.0,375776.4,0,0,1
647,9113.76,152528.64,0,1,0
648,16089.48,437282.76,0,0,1
649,18257.52,182525.64,0,1,0
650,1604.88,365484.24,0,0,1
651,9362.04,619882.44,1,0,1
652,10079.04,274617.48,0,0,1
653,10962.12,440050.2,0,0,1
654,11098.56,428551.68,0,0,1
655,14373.96,655827.72,0,0,1
656,590.52,365413.8,0,0,1
657,11648.64,580651.8,0,0,1
658,9396.72,648989.04,0,0,1
659,5580.72,244548.72,0,1,0
660,0.0,472053.0,0,0,1
661,8787.12,263832.6,0,1,0
662,6913.08,452156.4,0,0,1
663,7067.88,195718.56,0,1,0
664,10357.68,525353.76,0,0,1
665,10290.96,596104.44,0,0,1
666,4338.0,404098.68,0,0,1
667,10693.92,432277.08,0,0,1
668,11017.44,536862.72,0,0,1
669,16020.36,253810.32,0,0,1
670,5056.8,478482.24,0,0,1
671,8923.68,226607.64,0,1,0
672,9284.88,502469.88,0,0,1
673,8776.68,543022.56,0,0,1
674,11570.28,435964.68,0,0,1
675,4200.24,211886.04,0,1,0
676,14479.92,445507.08,0,0,1
677,12623.4,634658.28,0,0,1
678,5457.12,546866.04,0,0,1
679,11192.04,513103.2,0,0,1
680,6429.0,435113.52,0,0,1
681,2901.72,494234.16,0,0,1
682,12318.12,504506.04,0,0,1
683,2252.16,219345.96,0,1,0
684,2370.48,703763.16,0,0,1
685,7028.52,519460.8,0,0,1
686,23364.24,145764.6,0,1,0
687,9954.6,476610.48,0,0,1
688,2363.28,425861.4,0,0,1
689,7102.32,377265.36,0,0,1
690,0.0,476905.32,0,0,1
691,12099.48,143271.6,0,1,0
692,12626.76,208929.0,0,1,0
693,3980.16,597074.04,0,0,1
694,10957.32,352975.8,0,0,1
695,6736.68,260967.12,0,1,0
696,2963.52,572314.68,0,0,1
697,6947.76,555656.64,0,0,1
698,6693.72,748234.2,0,0,1
699,9459.0,125018.16,0,1,0
700,12729.72,470088.72,0,0,1
701,14974.92,237800.64,0,1,0
702,14212.32,411119.88,0,0,1
703,12294.96,396858.6,0,0,1
704,12963.48,520414.8,0,0,1
705,6483.36,315205.92,0,0,1
706,17386.08,406028.88,0,0,1
707,6734.28,329053.32,0,1,0
708,14297.76,360486.84,0,0,1
709,6781.68,458430.96,0,0,1
710,5795.76,430142.28,0,0,1
711,11404.2,449835.0,0,0,1
712,4208.4,254824.32,0,1,0
713,18612.24,228330.12,1,1,0
714,11779.2,452974.92,0,0,1
715,17305.56,131059.44,0,0,1
716,12724.08,679287.0,0,0,1
717,13858.68,741532.2,0,0,1
718,6529.68,240681.96,0,1,0
719,13646.16,331067.16,0,0,1
720,4968.96,573737.04,0,0,1
721,5232.12,210053.4,0,1,0
722,11853.72,309719.76,0,0,1
723,8152.68,559242.6,0,0,1
724,16533.24,619599.96,0,0,1
725,10281.72,389245.56,0,0,1
726,12440.16,539085.6,0,0,1
727,0.0,561921.6,0,0,1
728,11537.64,623241.12,0,0,1
729,3311.88,427473.96,0,0,1
730,5120.28,369232.08,0,0,1
731,3483.0,554569.92,0,0,1
732,11219.64,507909.0,0,0,1
733,8027.88,316104.6,0,1,0
734,24056.76,325638.48,0,1,0
735,15754.44,359259.12,0,0,1
736,7947.24,181104.6,0,1,0
737,6295.68,433450.68,0,0,1
738,14551.08,252700.2,0,1,0
739,11535.84,363489.72,0,0,1
740,18051.48,167582.28,1,1,0
741,7363.92,300485.88,0,1,0
742,14800.08,160824.84,0,1,0
743,14656.68,443535.84,0,0,1
744,14604.72,555081.36,0,0,1
745,7545.12,518462.16,0,0,1
746,9829.2,191495.28,0,1,0
747,10121.88,152520.36,0,1,0
748,14082.72,349696.44,0,0,1
749,14347.08,159955.2,0,1,0
750,14434.56,147457.56,0,0,1
751,298.44,351803.64,0,0,1
752,10238.88,353808.6,0,0,1
753,4785.36,482686.92,0,0,1
754,18254.04,217798.68,0,1,0
755,13922.64,191292.6,0,1,0
756,11827.32,599381.64,0,0,1
757,7005.84,458591.52,0,0,1
758,7664.28,217779.6,0,1,0
759,4620.0,304568.4,0,0,1
760,12609.12,378706.8,0,0,1
761,22463.28,216929.88,1,1,0
762,9525.12,421892.88,0,0,1
763,7099.92,261486.0,0,1,0
764,5033.76,288018.12,0,0,1
765,6171.36,218225.76,0,1,0
766,12334.8,258619.32,0,0,1
767,12356.16,191727.84,0,1,0
768,11443.56,220356.84,0,1,0
769,17560.08,138949.92,0,1,0
770,14069.52,416281.68,0,0,1
771,6579.24,144585.84,0,1,0
772,21034.56,579001.2,0,0,1
773,6671.04,286916.52,0,1,0
774,18731.16,163458.84,0,1,0
775,10078.56,202600.08,0,1,0
776,13353.84,163618.92,0,1,0
